1 Time,1 Position,2 Position,3 Position,4 Position,5 Position,6 Position,7: Position,8 Position,9 Position,10 Position,11 Position,12 Position
2.15,-0.0436999797821045,-0.0311999917030334,-0.0422999858856201,-0.0659000277519226,-0.039900004863739,-0.0683000087738037,-0.00870001316070557,-0.0239000022411346,0.0023999810218811,-0.0202000141143799,-0.0412999987602234,-0.0448000133037567
2.2,-0.0405999720096588,-0.0405999720096588,-0.0339999794960022,-0.0597000122070313,-0.0180000066757202,-0.0513000190258026,0.00349998474121094,-0.0121000111103058,0.0160000026226044,-0.00390002131462097,-0.0464999973773956,-0.0406000018119812
2.25,-0.0308999717235565,-0.0464999973773956,-0.0211999714374542,-0.0441000163555145,0.00619998574256897,-0.0309000015258789,0.0155999958515167,-0.000699996948242188,0.0257000029087067,0.0120999813079834,-0.04380002617836,-0.0309000015258789
2.3,-0.01869997382164,-0.0446999967098236,-0.00619998574256897,-0.0198000073432922,0.0301999747753143,-0.00620001554489136,0.0263999998569489,0.0117999911308289,0.0356999933719635,0.0269999802112579,-0.035400003194809,-0.0157000124454498
2.35,-0.00209999084472656,-0.0394999980926514,0.0125000178813934,0.00619998574256897,0.0481999814510345,0.0194000005722046,0.0356999933719635,0.0221999883651733,0.0415999889373779,0.0377999842166901,-0.0222000181674957,0.000999987125396729
2.4,0.0135000050067902,-0.0235999822616577,0.0271000266075134,0.0322999954223633,0.0623999834060669,0.0426999926567078,0.0415999889373779,0.0315999984741211,0.0458000004291534,0.0425999760627747,-0.00699999928474426,0.0175999999046326
2.45,0.0309000015258789,-0.00899997353553772,0.0389000177383423,0.0533999800682068,0.0658999979496002,0.0599999725818634,0.0453999936580658,0.0384999811649323,0.046099990606308,0.0411999821662903,0.0097000002861023,0.031499981880188
2.5,0.0385000109672546,0.0049000084400177,0.0441000163555145,0.0672999918460846,0.0630999803543091,0.0682999789714813,0.0458000004291534,0.0429999828338623,0.0429999828338623,0.0345999896526337,0.0255999863147736,0.0411999821662903
2.55,0.0430000126361847,0.0205000042915344,0.0444000065326691,0.0727999806404114,0.0495999753475189,0.0693999826908112,0.0436999797821045,0.0451000034809113,0.0367999970912933,0.0248999893665314,0.0366999804973602,0.0443999767303467
2.6,0.0437000095844269,0.0333000123500824,0.0402000248432159,0.0689999759197235,0.0318999886512756,0.0599999725818634,0.0370999872684479,0.0426999926567078,0.0291000008583069,0.00929999351501465,0.0439999997615814,0.0436999797821045
